nome,generos,popularidade,seguidores,imagem,genero_cluster
ELTON JOHN,POP,82,15639474,https://i.scdn.co/image/ab6761610000e5eb0dc33a1c53bb58a84b45d6a7,6.0
AGUST D,K-POP,74,15600521,https://i.scdn.co/image/ab6761610000e5eb191d43dca6f2f5a126e43e4b,9.0
DR. DRE,OLD SCHOOL HIP HOP,79,15196978,https://i.scdn.co/image/83d2489cade1dadcdc533ddbcd74993d0ca6d4cb,2.0
PLAYBOI CARTI,RAGE RAP,87,15147775,https://i.scdn.co/image/ab6761610000e5ebba50ca67ffc3097f6ea1710a,Outros
YOUNGBOY NEVER BROKE AGAIN,HIP HOP,86,15132694,https://i.scdn.co/image/ab6761610000e5eb776e469c846c205685141317,Outros
MARTIN GARRIX,EDM,75,15120321,https://i.scdn.co/image/ab6761610000e5ebf5b8ee60f1f4ee3453aba40b,Outros
VIRGOUN,INDONESIAN POP,70,15109420,https://i.scdn.co/image/ab6761610000e5eba99ec2b3bd22a84739aac218,7.0
ANKIT TIWARI,BOLLYWOOD,68,15087066,https://i.scdn.co/image/ab6761610000e5eb4d9659081d3facaf14e427b1,7.0
ILAIYARAAJA,TAMIL POP,74,14997494,https://i.scdn.co/image/ab6761610000e5ebec891c36864eb59b28f65cf8,2.0
ABBA,POP,81,14991711,https://i.scdn.co/image/ab6761610000e5eb81a5ec3c9b4a6750440904d8,6.0
MAIARA & MARAISA,SERTANEJO,72,14752573,https://i.scdn.co/image/ab6761610000e5eb1e6bb2217bfd6a497a908246,10.0
GORILLAZ,ROCK,83,14675212,https://i.scdn.co/image/ab6761610000e5ebdd5b57b40cf2aaeccd07835e,14.0
MIGOS,TRAP,75,14674053,https://i.scdn.co/image/ab6761610000e5ebf4593f7b778219838d858c34,12.0
RICARDO ARJONA,LATIN POP,76,14624548,https://i.scdn.co/image/ab6761610000e5ebc39af2ce1337734a4cadadaf,6.0
CHILDISH GAMBINO,EDM,79,14624215,https://i.scdn.co/image/ab6761610000e5ebc3dc5429b676b16d451e5f77,Outros
MOHIT CHAUHAN,BOLLYWOOD,76,14580608,https://i.scdn.co/image/ab6761610000e5eb16691117e2ba803946b203ba,2.0
DHANUSH,TAMIL DANCE,73,14573550,https://i.scdn.co/image/ab6761610000e5eb4624051fef26f472c786d7c0,2.0
BURNA BOY,AFROBEATS,80,14296948,https://i.scdn.co/image/ab6761610000e5ebb4e44d0f4e3e47af2cf06f3f,2.0
SLIPKNOT,NU METAL,79,14198923,https://i.scdn.co/image/ab6761610000e5ebd0cdb283a7384a0edb665182,4.0
MORGAN WALLEN,COUNTRY,89,14159844,https://i.scdn.co/image/ab6761610000e5eb4245b1652fcc23f2b76ccd07,2.0
SYSTEM OF A DOWN,NU METAL,81,14124145,https://i.scdn.co/image/ab6761610000e5eb60063d3451ade8f9fab397c2,4.0
LEWIS CAPALDI,SOFT POP,80,14097600,https://i.scdn.co/image/ab6761610000e5ebdc9e707b0d0e591e08d3f549,Outros
FLEETWOOD MAC,CLASSIC ROCK,84,14078303,https://i.scdn.co/image/ab6761610000e5ebc8752dd511cda8c31e9daee8,2.0
RADIOHEAD,ART ROCK,87,14068465,https://i.scdn.co/image/ab6761610000e5eb4104fbd80f1f795728abbd59,Outros
MATUE,BRAZILIAN TRAP,77,14020260,https://i.scdn.co/image/ab6761610000e5eb654dc6b69f86aeb73527fc07,8.0
MORAT,COLOMBIAN POP,80,14002134,https://i.scdn.co/image/ab6761610000e5eb3d53e852b5c27d3bc5aa3439,2.0
LAST CHILD,INDONESIAN POP,71,13945019,https://i.scdn.co/image/ab6761610000e5ebafe8d291d9d89a395f2badd6,2.0
USHER,R&B,82,13849243,https://i.scdn.co/image/ab6761610000e5eb716114797a4a644c67c5fa72,2.0
SEZEN AKSU,ARABESK,73,13778923,https://i.scdn.co/image/ab6761610000e5ebd32dbe03236eda653b1a2bd0,2.0
BRYANT MYERS,TRAP LATINO,81,13743184,https://i.scdn.co/image/ab6761610000e5eb27e96bc9bbb0c28566c5d788,2.0
JENNIFER LOPEZ,POP,75,13740009,https://i.scdn.co/image/ab6761610000e5eb48e24f77a03f78a00cfda0bb,6.0
SEVENTEEN,K-POP,77,13733306,https://i.scdn.co/image/ab6761610000e5eb8da3a229445fd3cd896cdd5c,9.0
MANA,ROCK EN ESPANOL,79,13672576,https://i.scdn.co/image/ab6761610000e5eb152dcec8175d19fb12eeb8e0,2.0
B PRAAK,HINDI POP,72,13642871,https://i.scdn.co/image/ab6761610000e5eb0e03d94a7d567c5d4f73d3ed,Outros
U2,ROCK,77,13638935,https://i.scdn.co/image/ab6761610000e5ebe62be215d2ee31bcd97edaba,14.0
