nome,id_spotify,generos,popularidade,seguidores,imagem,fonte
Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,r&b,72,4415373,https://i.scdn.co/image/ab6761610000e5eb3d7888ba4d2bf67fe6b64a55,nova consulta
Keyshia Cole,1vfezMIyCr4XUdYRaKIKi3,r&b,71,4360818,https://i.scdn.co/image/ab6761610000e5eb432cb55e0b82419302f7cc5a,nova consulta
Creed,43sZBwHjahUvgbx1WNIkIz,post-grunge,75,4360001,https://i.scdn.co/image/ab6761610000e5eb0d86c8971cc4d6fa63d58bae,nova consulta
Sum 41,0qT79UgT5tY4yudH9VfsdT,"pop punk, punk, skate punk",71,4350912,https://i.scdn.co/image/ab6761610000e5eb625af80b68ae4eb559c6c417,nova consulta
Projota,2zGf6lwQ9PxXdoeo5XXP2K,"brazilian hip hop, brazilian pop",62,4345147,https://i.scdn.co/image/ab6761610000e5eb0ef9fa4ede33f87f2911302e,nova consulta
NCT U,3paGCCtX1Xr4Gx53mSeZuQ,"k-pop, noise music",59,4345024,https://i.scdn.co/image/ab6761610000e5eb38c136f067600bd431dd9b93,nova consulta
KayBlack,2h5Ha0ZiMFmOQD3iYcSXsy,"brazilian trap, trap funk, trap, brazilian hip hop",73,4300706,https://i.scdn.co/image/ab6761610000e5eba52eb8324be9da54c529d78f,nova consulta
Jackson Wang,1kfWoWgCugPkyxQP8lkRlY,k-pop,62,4293839,https://i.scdn.co/image/ab6761610000e5eb696194c84834e1c1782958c3,nova consulta
Baco Exu do Blues,78nr1pVnDR7qZH6QbVMYZf,"brazilian hip hop, brazilian trap",72,4285505,https://i.scdn.co/image/ab6761610000e5ebca03bdb105d972069aea55d4,nova consulta
Anderson Freire,1HxtfSGL8pWUwAyVgpbU5B,"gospel, brazilian gospel, worship, pentecostal",61,4204400,https://i.scdn.co/image/ab6761610000e5ebcd6c889e3da0b84988bd616b,nova consulta
Brandy,05oH07COxkXKIMt6mIPRee,r&b,68,4147118,https://i.scdn.co/image/ab6761610000e5eb0475a5b9a265a25e5dcafae8,nova consulta
Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,"new wave, synthpop",75,4144967,https://i.scdn.co/image/ab6761610000e5eb1e63dea1bded4ae1d53b5c9a,nova consulta
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,"blues rock, garage rock, modern blues, rock",69,4144122,https://i.scdn.co/image/ab6761610000e5eb2383f032c2aebc76cf3780ed,nova consulta
Tribo da Periferia,1xxS2WrLlgl9QNGEUCsbPG,brazilian hip hop,71,4141363,https://i.scdn.co/image/ab6761610000e5eb765b8922797f358f028db9bc,nova consulta
Thiaguinho,1vppDmG3i5sXf3DJzrK4T1,"pagode, samba",74,4135736,https://i.scdn.co/image/ab6761610000e5eb286d5d78a231f1e78225a48a,nova consulta
James Bay,4EzkuveR9pLvDVFNx6foYD,,68,4109500,https://i.scdn.co/image/ab6761610000e5eb58d57084e75247d33ce25eaf,nova consulta
Mc Davi,1cYhx7ZOhYoVmnDPb9KMwo,"brazilian funk, funk consciente, trap funk",71,4062249,https://i.scdn.co/image/ab6761610000e5eb489d453e5d9e3835c0dae37e,nova consulta
Alice Cooper,3EhbVgyfGd7HkpsagwL9GS,"glam rock, hard rock, glam metal, proto-punk, classic rock",63,4051646,https://i.scdn.co/image/ab6761610000e5eb33b97c45348420d27fb92d68,nova consulta
Mario,20s0P9QLxGqKuCsGwFsp7w,r&b,70,4031179,https://i.scdn.co/image/ab6761610000e5eb48f54214e0580b101375840c,nova consulta
Stone Temple Pilots,2UazAtjfzqBF0Nho2awK4z,"grunge, alternative rock, post-grunge, rock",70,4021053,https://i.scdn.co/image/ab6761610000e5eb4bb64f87db255d76538b905f,nova consulta
Mari Fernandez,0BHm7qbh3ENxvXzkQAG7MP,"piseiro, sertanejo, forró, arrocha, agronejo, sertanejo universitário",70,4011965,https://i.scdn.co/image/ab6761610000e5eb201a17c02717afffbdd19b82,nova consulta
Supertramp,3JsMj0DEzyWc0VDlHuy9Bx,"progressive rock, classic rock",70,3991476,https://i.scdn.co/image/eebed895cad509b17c7c6faf47f21f1fc35e8829,nova consulta
NMIXX,28ot3wh4oNmoFOdVajibBl,k-pop,71,3987784,https://i.scdn.co/image/ab6761610000e5eb8aaf0595187aba8e8f1bd828,nova consulta
Blur,7MhMgCo0Bl0Kukl93PZbYS,"britpop, madchester, alternative rock",69,3954430,https://i.scdn.co/image/ab6761610000e5eb00620d736644d2359ce99430,nova consulta
ILLIT,36cgvBn0aadzOijnjjwqMN,k-pop,76,3950034,https://i.scdn.co/image/ab6761610000e5eb169a757a7d0ba53a33984416,nova consulta
Simple Plan,2p4FqHnazRucYQHyDCdBrJ,"pop punk, punk, emo",69,3940952,https://i.scdn.co/image/ab6761610000e5ebf8a6c76b696c37d752a6797e,nova consulta
Turma do Pagode,5JG9GISYjRLQUJMH2C6iJ5,"pagode, samba",72,3940158,https://i.scdn.co/image/ab6761610000e5ebd1152a6c6b63470d024ece42,nova consulta
Eduardo Costa,2OUgs5INWK2UEvZ6amWiJr,"sertanejo tradicional, sertanejo, sertanejo universitário",70,3936618,https://i.scdn.co/image/ab6761610000e5eb724c358805e181037758f986,nova consulta
Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,"sertanejo, sertanejo universitário, arrocha, agronejo, piseiro",77,3921148,https://i.scdn.co/image/ab6761610000e5eb713d2a5853dcb4e8dc06b6c9,nova consulta
Sorriso Maroto,1fUSLFr4WUBx7joEcGwpvG,"pagode, samba",76,3885340,https://i.scdn.co/image/ab6761610000e5eb3c7fd92646cae6da47d7f092,nova consulta
Foreigner,6IRouO5mvvfcyxtPDKMYFN,"aor, classic rock",73,3871393,https://i.scdn.co/image/ab6761610000e5eb8a23eb82ac13bfc05ccc3b5e,nova consulta
O Rappa,1A5QJAC1vdhbhPE25Q0x0f,"brazilian rock, mpb, brazilian pop, brazilian hip hop, reggae",69,3869807,https://i.scdn.co/image/e0524e5db75789613510320d7cf7d97d6d9e89c4,nova consulta
Cher,72OaDtakiy6yFqkt4TsiFt,,70,3831006,https://i.scdn.co/image/ab6761610000e5eb860b5a38a308428c310ee013,nova consulta
Simone Mendes,2eK9gcJQ6uqVvJL63dnOM3,"sertanejo, sertanejo universitário, pagode, forró, piseiro, agronejo, arrocha",79,3823082,https://i.scdn.co/image/ab6761610000e5eb82f8ed27ed944af47c747a0c,nova consulta
Gloria Groove,7rXMvXRnWHaSwnVvPeUUfw,"brazilian pop, funk pop, pagode, brazilian funk",67,3810085,https://i.scdn.co/image/ab6761610000e5ebaad09ce7fdb0906a834a204e,nova consulta
Nelly,2gBjLmx6zQnFGQJCAQpRgw,,76,3804068,https://i.scdn.co/image/3677690af58abb70a5c5fd58d69db4d1ad705d4f,nova consulta
Israel & Rodolffo,41QLxRXlc2NwfJZkHGHKid,"sertanejo, sertanejo universitário, agronejo, piseiro, arrocha",70,3782227,https://i.scdn.co/image/ab6761610000e5eb49af489b11377736ccc8e6cd,nova consulta
TOTO,0PFtn5NtBbbUNbU9EAmIWF,"yacht rock, soft rock",74,3763769,https://i.scdn.co/image/ab6761610000e5eba59a5bcab211f964fe9bfb06,nova consulta
