ano,Categoria_Local,Tipo_Espaco,generos,popularidade,seguidores,lotacao,preco_medio,dia_semana,tipo_dia,mes,distancia_dias_anterior,genero_cluster
2023,MEDIAS CASAS,CASA DE SHOWS,MPB,63.0,1801385.0,4000.0,374.0,SABADO,FIM DE SEMANA,MARÇO,-156.33333333333334,11.0
2023,MEDIAS CASAS,CASA DE SHOWS,MPB,63.0,1801385.0,4000.0,374.0,DOMINGO,FIM DE SEMANA,MARÇO,0.16666666666666666,11.0
2023,MEDIAS CASAS,CASA DE SHOWS,MPB,63.0,1801385.0,4000.0,374.0,SABADO,FIM DE SEMANA,MARÇO,3.3333333333333335,11.0
2023,MEDIAS CASAS,CASA DE SHOWS,MPB,63.0,1801385.0,4000.0,374.0,QUINTA-FEIRA,DIA UTIL,MARÇO,0.8333333333333334,11.0
2023,MEDIAS CASAS,CASA DE SHOWS,MPB,63.0,1801385.0,4000.0,374.0,SEXTA-FEIRA,FERIADO NACIONAL,ABRIL,1.3333333333333333,11.0
2022,MEDIAS CASAS,CASA DE SHOWS,SERTANEJO TRADICIONAL,68.0,2749524.0,8000.0,423.3333333333333,SABADO,FIM DE SEMANA,FEVEREIRO,-100.33333333333333,13.0
2022,MEDIAS CASAS,CASA DE SHOWS,SERTANEJO TRADICIONAL,68.0,2749524.0,8000.0,423.3333333333333,QUINTA-FEIRA,DIA UTIL,FEVEREIRO,1.6666666666666667,13.0
2022,ARENAS E ESTADIOS,ESTADIO MULTIUSO,SERTANEJO TRADICIONAL,68.0,2749524.0,45000.0,4533.666666666667,SABADO,FIM DE SEMANA,DEZEMBRO,98.66666666666667,13.0
2023,MEDIAS CASAS,CASA DE SHOWS,SERTANEJO TRADICIONAL,68.0,2749524.0,8000.0,525.0,SEXTA-FEIRA,DIA UTIL,JUNHO,-198.0,13.0
2023,MEDIAS CASAS,CASA DE SHOWS,SERTANEJO TRADICIONAL,68.0,2749524.0,8000.0,525.0,SABADO,FIM DE SEMANA,JUNHO,0.25,13.0
2024,ARENAS E ESTADIOS,ESTADIO MULTIUSO,SERTANEJO TRADICIONAL,68.0,2749524.0,47500.0,4713.666666666667,QUINTA-FEIRA,DIA UTIL,JUNHO,188.33333333333334,13.0
2025,ARENAS E ESTADIOS,ESTADIO MULTIUSO,SERTANEJO TRADICIONAL,68.0,2749524.0,45000.0,180.0,SABADO,FIM DE SEMANA,AGOSTO,211.0,13.0
2025,MEDIAS CASAS,CASA DE SHOWS,SERTANEJO TRADICIONAL,68.0,2749524.0,8000.0,540.0,SEXTA-FEIRA,DIA UTIL,NOVEMBRO,293.6666666666667,13.0
2025,MEDIAS CASAS,CASA DE SHOWS,SERTANEJO TRADICIONAL,68.0,2749524.0,8000.0,540.0,SABADO,FIM DE SEMANA,NOVEMBRO,0.3333333333333333,13.0
2024,ARENAS E ESTADIOS,ESTADIO MULTIUSO,R&B,88.0,28587137.0,49937.0,538.0,SABADO,FIM DE SEMANA,DEZEMBRO,68.0,2.0
