,data,ano,nome_local,nome,Categoria_Local,Tipo_Espaco,generos,popularidade,seguidores,festival,lotacao,setor,preco,preco_medio,Categoria_Setor,dia_semana,tipo_dia,descricao_clima,mes,distancia_dias_anterior
81,2023-03-18,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,89.0,61164769.0,False,73275.0,Pista Premium,980.0,702.5,VIP,SABADO,FIM DE SEMANA,NUBLADO,MARÇO,0.0
82,2023-03-18,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,89.0,61164769.0,False,73275.0,Cadeira Inferior,750.0,702.5,INTERMEDIARIO,SABADO,FIM DE SEMANA,NUBLADO,MARÇO,0.0
83,2023-03-18,2023,ESTADIO DO MORUMBI,COLDPLAY,ARENAS E ESTADIOS,ESTADIO MULTIUSO,POP,89.0,61164769.0,False,73275.0,Cadeira Superior,490.0,702.5,INTERMEDIARIO,SABADO,FIM DE SEMANA,NUBLADO,MARÇO,0.0
84,2023-02-28,2023,ALLIANZ PARQUE,IMAGINE DRAGONS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,ROCK,86.0,58517632.0,False,49085.0,Pista,560.0,928.3333333333334,COMUM,TERCA-FEIRA,DIA UTIL,CHUVA FORTE,FEVEREIRO,999.0
85,2023-02-28,2023,ALLIANZ PARQUE,IMAGINE DRAGONS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,ROCK,86.0,58517632.0,False,49085.0,Pista Premium,940.0,928.3333333333334,VIP,TERCA-FEIRA,DIA UTIL,CHUVA FORTE,FEVEREIRO,0.0
86,2023-02-28,2023,ALLIANZ PARQUE,IMAGINE DRAGONS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,ROCK,86.0,58517632.0,False,49085.0,Cadeira Inferior,920.0,928.3333333333334,INTERMEDIARIO,TERCA-FEIRA,DIA UTIL,CHUVA FORTE,FEVEREIRO,0.0
87,2023-02-28,2023,ALLIANZ PARQUE,IMAGINE DRAGONS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,ROCK,86.0,58517632.0,False,49085.0,Cadeira Superior,860.0,928.3333333333334,INTERMEDIARIO,TERCA-FEIRA,DIA UTIL,CHUVA FORTE,FEVEREIRO,0.0
88,2023-02-28,2023,ALLIANZ PARQUE,IMAGINE DRAGONS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,ROCK,86.0,58517632.0,False,49085.0,Arquibancada,490.0,928.3333333333334,COMUM,TERCA-FEIRA,DIA UTIL,CHUVA FORTE,FEVEREIRO,0.0
89,2023-02-28,2023,ALLIANZ PARQUE,IMAGINE DRAGONS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,ROCK,86.0,58517632.0,False,49085.0,PIT,1800.0,928.3333333333334,ULTRA VIP,TERCA-FEIRA,DIA UTIL,CHUVA FORTE,FEVEREIRO,0.0
90,2025-10-31,2025,MORUMBIS,IMAGINE DRAGONS,ARENAS E ESTADIOS,ESTADIO MULTIUSO,ROCK,86.0,58517632.0,False,60000.0,Pista,700.0,1100.0,COMUM,SEXTA-FEIRA,DIA UTIL,CHUVA FORTE,OUTUBRO,976.0
