nome;data;ano;nome_local;lotacao
RICHARD CLAYDERMAN;06/06/2024;2024;ESPACO UNIMED;5400
INTERPOL;07/06/2024;2024;AUDIO;2600
RACA NEGRA;08/06/2024;2024;VIBRA SAO PAULO;7000
INTERPOL;08/06/2024;2024;AUDIO;2573
LUDMILLA;09/06/2024;2024;ALLIANZ PARQUE;21188
MC HARIEL;09/06/2024;2024;ALLIANZ PARQUE;21188
LUISA SONZA;09/06/2024;2024;ALLIANZ PARQUE;21188
FERRUGEM;09/06/2024;2024;ALLIANZ PARQUE;21188
GRUPO MENOS E MAIS;09/06/2024;2024;ALLIANZ PARQUE;21188
ZE FELIPE;09/06/2024;2024;ALLIANZ PARQUE;21188
MC DON JUAN;09/06/2024;2024;ALLIANZ PARQUE;21188
MC DAVI;09/06/2024;2024;ALLIANZ PARQUE;21188
TURMA DO PAGODE;09/06/2024;2024;ALLIANZ PARQUE;21188
GLORIA GROOVE;09/06/2024;2024;ALLIANZ PARQUE;21188
WIU;09/06/2024;2024;ALLIANZ PARQUE;21188
XAND AVIAO;09/06/2024;2024;ALLIANZ PARQUE;21188
LUAN PEREIRA;09/06/2024;2024;ALLIANZ PARQUE;21188
XAMA;09/06/2024;2024;ALLIANZ PARQUE;21188
PEDRO SAMPAIO;09/06/2024;2024;ALLIANZ PARQUE;21188
LEO SANTANA;09/06/2024;2024;ALLIANZ PARQUE;21188
MC DANIEL;09/06/2024;2024;ALLIANZ PARQUE;21188
ARMANDINHO;09/06/2024;2024;ALLIANZ PARQUE;21188
VITOR KLEY;09/06/2024;2024;ALLIANZ PARQUE;21188
ZEZE DI CAMARGO & LUCIANO;12/06/2024;2024;ESPACO UNIMED;7000
PERICLES;14/06/2024;2024;AUDIO;2800
JOTA QUEST;15/06/2024;2024;ALLIANZ PARQUE;30000
PITTY;21/06/2024;2024;TERRA SP;
ZECA PAGODINHO;21/06/2024;2024;ESPACO UNIMED;8000
ZECA PAGODINHO;22/06/2024;2024;ESPACO UNIMED;8000
IVE;26/06/2024;2024;ESPACO UNIMED;8000
CHITAOZINHO & XORORO;27/06/2024;2024;ALLIANZ PARQUE;47500
OS PARALAMAS DO SUCESSO;27/06/2024;2024;PAVILHAO DO TRANSAMERICA EXPO CENTER;
LAGUM;28/06/2024;2024;ESPACO UNIMED;8000
CAPITAL INICIAL;29/06/2024;2024;ESPACO UNIMED;8000
CAPITAL INICIAL;30/06/2024;2024;ESPACO UNIMED;8000
THIAGUINHO;06/07/2024;2024;ESPACO UNIMED;
CALCINHA PRETA;08/07/2024;2024;TERRA SP;4000
DUQUESA;09/07/2024;2024;CENTRO CULTURAL SAO PAULO;4000
RAIMUNDOS;13/07/2024;2024;TOKIO MARINE HALL;
CPM 22;13/07/2024;2024;AUDIO;3200
BK;14/07/2024;2024;ESPACO UNIMED;8000
XANDE DE PILARES;20/07/2024;2024;ESPACO UNIMED;
TRIO PARADA DURA;16/08/2024;2024;VILLA COUNTRY;
ZE NETO & CRISTIANO;17/08/2024;2024;DISTRITO ANHEMBI;24000
MAIARA & MARAISA;17/08/2024;2024;DISTRITO ANHEMBI;24000
GUSTAVO MIOTO;17/08/2024;2024;DISTRITO ANHEMBI;24000
NATTAN;17/08/2024;2024;DISTRITO ANHEMBI;24000
SIMONE MENDES;17/08/2024;2024;DISTRITO ANHEMBI;24000
PEDRO SAMPAIO;17/08/2024;2024;DISTRITO ANHEMBI;24000
LEONARDO;17/08/2024;2024;DISTRITO ANHEMBI;24000
VITOR FERNANDES;17/08/2024;2024;DISTRITO ANHEMBI;24000
NATIRUTS;24/08/2024;2024;ALLIANZ PARQUE;50000
NATIRUTS;25/08/2024;2024;ALLIANZ PARQUE;50000
BACO EXU DO BLUES;30/08/2024;2024;ESPACO UNIMED;
NATIRUTS;30/08/2024;2024;ALLIANZ PARQUE;50000
LEGIAO URBANA;31/08/2024;2024;ESPACO UNIMED;7000
NATIRUTS;31/08/2024;2024;ALLIANZ PARQUE;50000
NCT DREAM;02/09/2024;2024;ESPACO UNIMED;8000
ANITTA;06/09/2024;2024;NEO QUIMICA ARENA;25000
